Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
I:\dev\language-ext\LanguageExt.FSharp\obj\Debug\net451,1,27,12,2,0,5,0,10,36,9,30
I:\dev\language-ext\LanguageExt.FSharp\obj\Debug\netstandard1.6,1,27,12,2,0,5,0,10,36,9,30
I:\dev\language-ext\LanguageExt.FSharp\obj\Debug\netstandard2.0,1,27,12,2,0,5,0,10,36,9,30
I:\dev\language-ext\LanguageExt.FSharp\obj\Release,4,80,48,8,0,12,0,20,40,20,40
I:\dev\language-ext\LanguageExt.FSharp\obj\Release\net45,1,20,12,2,0,3,0,5,10,5,10
I:\dev\language-ext\LanguageExt.FSharp\obj\Release\net451,1,20,12,2,0,3,0,5,10,5,10
I:\dev\language-ext\LanguageExt.FSharp\obj\Release\netstandard1.6,1,20,12,2,0,3,0,5,10,5,10
I:\dev\language-ext\LanguageExt.FSharp\obj\Release\netstandard2.0,1,20,12,2,0,3,0,5,10,5,10
I:\dev\language-ext\LanguageExt.Parsec,37,5078,3042,1358,293,666,8,1370,7162,56,160
I:\dev\language-ext\LanguageExt.Parsec\ParserIOs,3,920,395,186,41,97,0,428,2318,0,0
I:\dev\language-ext\LanguageExt.Parsec\Parsers,5,1510,782,310,54,184,0,544,2789,0,0
I:\dev\language-ext\LanguageExt.Parsec\obj,8,188,96,16,0,32,0,60,184,56,160
I:\dev\language-ext\LanguageExt.Parsec\obj\Debug,4,108,48,8,0,20,0,40,144,36,120
I:\dev\language-ext\LanguageExt.Parsec\obj\Debug\net45,1,27,12,2,0,5,0,10,36,9,30
I:\dev\language-ext\LanguageExt.Parsec\obj\Debug\net451,1,27,12,2,0,5,0,10,36,9,30
I:\dev\language-ext\LanguageExt.Parsec\obj\Debug\netstandard1.3,1,27,12,2,0,5,0,10,36,9,30
I:\dev\language-ext\LanguageExt.Parsec\obj\Debug\netstandard2.0,1,27,12,2,0,5,0,10,36,9,30
I:\dev\language-ext\LanguageExt.Parsec\obj\Release,4,80,48,8,0,12,0,20,40,20,40
I:\dev\language-ext\LanguageExt.Parsec\obj\Release\net45,1,20,12,2,0,3,0,5,10,5,10
I:\dev\language-ext\LanguageExt.Parsec\obj\Release\net451,1,20,12,2,0,3,0,5,10,5,10
I:\dev\language-ext\LanguageExt.Parsec\obj\Release\netstandard1.3,1,20,12,2,0,3,0,5,10,5,10
I:\dev\language-ext\LanguageExt.Parsec\obj\Release\netstandard2.0,1,20,12,2,0,3,0,5,10,5,10
I:\dev\language-ext\LanguageExt.Rx,21,901,499,194,26,111,0,291,1659,46,140
I:\dev\language-ext\LanguageExt.Rx\obj,6,146,70,12,0,26,0,50,164,46,140
I:\dev\language-ext\LanguageExt.Rx\obj\Debug,4,106,46,8,0,20,0,40,144,36,120
I:\dev\language-ext\LanguageExt.Rx\obj\Debug\net451,1,27,12,2,0,5,0,10,36,9,30
I:\dev\language-ext\LanguageExt.Rx\obj\Debug\net46,1,27,12,2,0,5,0,10,36,9,30
I:\dev\language-ext\LanguageExt.Rx\obj\Debug\netcoreapp2.0,1,25,10,2,0,5,0,10,36,9,30
I:\dev\language-ext\LanguageExt.Rx\obj\Debug\netstandard2.0,1,27,12,2,0,5,0,10,36,9,30
I:\dev\language-ext\LanguageExt.Rx\obj\Release,2,40,24,4,0,6,0,10,20,10,20
I:\dev\language-ext\LanguageExt.Rx\obj\Release\net46,1,20,12,2,0,3,0,5,10,5,10
I:\dev\language-ext\LanguageExt.Rx\obj\Release\netstandard2.0,1,20,12,2,0,3,0,5,10,5,10
I:\dev\language-ext\LanguageExt.Tests,127,14745,11268,6774,120,2938,21,539,2115,45,150
I:\dev\language-ext\LanguageExt.Tests\DefaultValueChecks,4,125,108,59,0,17,0,0,0,0,0
I:\dev\language-ext\LanguageExt.Tests\NullChecks,4,133,114,65,0,19,0,0,0,0,0
I:\dev\language-ext\LanguageExt.Tests\Parsing,21,386,313,154,0,73,0,0,0,0,0
I:\dev\language-ext\LanguageExt.Tests\Regression,1,80,69,33,1,11,0,0,0,0,0
I:\dev\language-ext\LanguageExt.Tests\SeqTypes,1,35,30,20,0,5,0,0,0,0,0
I:\dev\language-ext\LanguageExt.Tests\obj,9,140,65,18,0,25,0,50,180,45,150
I:\dev\language-ext\LanguageExt.Tests\obj\Debug,7,112,52,14,0,20,0,40,144,36,120
I:\dev\language-ext\LanguageExt.Tests\obj\Debug\net451,2,29,14,4,0,5,0,10,36,9,30
I:\dev\language-ext\LanguageExt.Tests\obj\Debug\netcoreapp1.0,2,28,13,4,0,5,0,10,36,9,30
I:\dev\language-ext\LanguageExt.Tests\obj\Debug\netcoreapp2.0,2,29,14,4,0,5,0,10,36,9,30
I:\dev\language-ext\LanguageExt.Tests\obj\Debug\netstandard1.6,1,26,11,2,0,5,0,10,36,9,30
I:\dev\language-ext\LanguageExt.Tests\obj\Release,2,28,13,4,0,5,0,10,36,9,30
I:\dev\language-ext\LanguageExt.Tests\obj\Release\netcoreapp1.0,2,28,13,4,0,5,0,10,36,9,30
I:\dev\language-ext\Samples,50,2769,2026,989,40,393,1,350,1644,126,420
I:\dev\language-ext\Samples\AccountingDSL,17,1270,1047,488,36,149,1,74,503,9,30
I:\dev\language-ext\Samples\AccountingDSL\AccountingDSL,17,1270,1047,488,36,149,1,74,503,9,30
I:\dev\language-ext\Samples\AccountingDSL\AccountingDSL\DSL,3,251,212,115,6,36,0,3,11,0,0
I:\dev\language-ext\Samples\AccountingDSL\AccountingDSL\Data,3,81,72,41,0,9,0,0,0,0,0
I:\dev\language-ext\Samples\AccountingDSL\AccountingDSL\ExpressionCompiler,1,206,172,41,6,34,0,0,0,0,0
I:\dev\language-ext\Samples\AccountingDSL\AccountingDSL\Interpreter,3,144,125,62,16,19,0,0,0,0,0
I:\dev\language-ext\Samples\AccountingDSL\AccountingDSL\ScriptParsing,3,446,352,177,7,33,1,61,456,0,0
I:\dev\language-ext\Samples\AccountingDSL\AccountingDSL\obj,1,25,10,2,0,5,0,10,36,9,30
I:\dev\language-ext\Samples\AccountingDSL\AccountingDSL\obj\Debug,1,25,10,2,0,5,0,10,36,9,30
I:\dev\language-ext\Samples\AccountingDSL\AccountingDSL\obj\Debug\netcoreapp2.0,1,25,10,2,0,5,0,10,36,9,30
I:\dev\language-ext\Samples\BankingAppSample,14,691,473,241,3,88,0,130,586,27,90
I:\dev\language-ext\Samples\BankingAppSample\Banking.Core,2,103,75,25,2,18,0,10,36,9,30
I:\dev\language-ext\Samples\BankingAppSample\Banking.Core\obj,1,25,10,2,0,5,0,10,36,9,30
I:\dev\language-ext\Samples\BankingAppSample\Banking.Core\obj\Debug,1,25,10,2,0,5,0,10,36,9,30
I:\dev\language-ext\Samples\BankingAppSample\Banking.Core\obj\Debug\netstandard1.4,1,25,10,2,0,5,0,10,36,9,30
I:\dev\language-ext\Samples\BankingAppSample\Banking.Schema,10,505,342,198,1,57,0,106,469,9,30
I:\dev\language-ext\Samples\BankingAppSample\Banking.Schema\obj,1,25,10,2,0,5,0,10,36,9,30
I:\dev\language-ext\Samples\BankingAppSample\Banking.Schema\obj\Debug,1,25,10,2,0,5,0,10,36,9,30
I:\dev\language-ext\Samples\BankingAppSample\Banking.Schema\obj\Debug\netstandard1.4,1,25,10,2,0,5,0,10,36,9,30
I:\dev\language-ext\Samples\BankingAppSample\BankingAppSample,2,83,56,18,0,13,0,14,81,9,30
I:\dev\language-ext\Samples\BankingAppSample\BankingAppSample\obj,1,25,10,2,0,5,0,10,36,9,30
I:\dev\language-ext\Samples\BankingAppSample\BankingAppSample\obj\Debug,1,25,10,2,0,5,0,10,36,9,30
I:\dev\language-ext\Samples\BankingAppSample\BankingAppSample\obj\Debug\netcoreapp1.1,1,25,10,2,0,5,0,10,36,9,30
I:\dev\language-ext\Samples\Records,6,222,152,90,0,39,0,31,157,0,0
I:\dev\language-ext\Samples\RecordsNetCore,5,165,92,41,0,29,0,44,145,27,90
I:\dev\language-ext\Samples\RecordsNetCore\obj,3,75,30,6,0,15,0,30,108,27,90
I:\dev\language-ext\Samples\RecordsNetCore\obj\Debug,2,50,20,4,0,10,0,20,72,18,60
I:\dev\language-ext\Samples\RecordsNetCore\obj\Debug\netcoreapp1.1,1,25,10,2,0,5,0,10,36,9,30
I:\dev\language-ext\Samples\RecordsNetCore\obj\Debug\netcoreapp2.0,1,25,10,2,0,5,0,10,36,9,30
I:\dev\language-ext\Samples\RecordsNetCore\obj\Release,1,25,10,2,0,5,0,10,36,9,30
I:\dev\language-ext\Samples\RecordsNetCore\obj\Release\netcoreapp1.1,1,25,10,2,0,5,0,10,36,9,30
I:\dev\language-ext\Samples\Records\Properties,1,37,15,3,0,5,0,17,120,0,0
I:\dev\language-ext\Samples\Records\obj,0,0,0,0,0,0,0,0,0,0,0
I:\dev\language-ext\Samples\Records\obj\Debug,0,0,0,0,0,0,0,0,0,0,0
I:\dev\language-ext\Samples\Records\obj\Release,0,0,0,0,0,0,0,0,0,0,0
I:\dev\language-ext\Samples\TestBed,8,421,262,129,1,88,0,71,253,63,210
I:\dev\language-ext\Samples\TestBed\obj,7,175,70,14,0,35,0,70,252,63,210
I:\dev\language-ext\Samples\TestBed\obj\Debug,2,50,20,4,0,10,0,20,72,18,60
I:\dev\language-ext\Samples\TestBed\obj\Debug\netcoreapp1.0,1,25,10,2,0,5,0,10,36,9,30
I:\dev\language-ext\Samples\TestBed\obj\Debug\netcoreapp2.0,1,25,10,2,0,5,0,10,36,9,30
I:\dev\language-ext\Samples\TestBed\obj\Release,1,25,10,2,0,5,0,10,36,9,30
I:\dev\language-ext\Samples\TestBed\obj\Release\netcoreapp1.0,1,25,10,2,0,5,0,10,36,9,30
I:\dev\language-ext\Samples\TestBed\obj\x64,2,50,20,4,0,10,0,20,72,18,60
I:\dev\language-ext\Samples\TestBed\obj\x64\Debug,1,25,10,2,0,5,0,10,36,9,30
I:\dev\language-ext\Samples\TestBed\obj\x64\Debug\netcoreapp1.0,1,25,10,2,0,5,0,10,36,9,30
I:\dev\language-ext\Samples\TestBed\obj\x64\Release,1,25,10,2,0,5,0,10,36,9,30
I:\dev\language-ext\Samples\TestBed\obj\x64\Release\netcoreapp1.0,1,25,10,2,0,5,0,10,36,9,30
I:\dev\language-ext\Samples\TestBed\obj\x86,2,50,20,4,0,10,0,20,72,18,60
I:\dev\language-ext\Samples\TestBed\obj\x86\Debug,1,25,10,2,0,5,0,10,36,9,30
I:\dev\language-ext\Samples\TestBed\obj\x86\Debug\netcoreapp1.0,1,25,10,2,0,5,0,10,36,9,30
I:\dev\language-ext\Samples\TestBed\obj\x86\Release,1,25,10,2,0,5,0,10,36,9,30
I:\dev\language-ext\Samples\TestBed\obj\x86\Release\netcoreapp1.0,1,25,10,2,0,5,0,10,36,9,30
