File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Pred\String\Predicates.cs,17,14,6,0,3,0,0,0,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Semigroup\MinMax.cs,34,20,10,0,6,0,8,40,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\Arr\Arr.cs,497,336,176,56,69,0,92,331,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\Arr\Arr.Module.cs,97,41,19,0,9,0,47,190,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\BigInt\BigInt.cs,2128,302,156,3,138,0,1688,6999,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\Compositions\Compositions.cs,172,74,43,0,24,0,74,427,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\Compositions\Compositions.Extensions.cs,9,7,4,0,2,0,0,0,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\Compositions\Compositions.Module.cs,175,128,76,24,12,0,35,231,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\Cond\Cond.cs,335,118,39,9,21,0,196,1391,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\Cond\CondAsync.cs,977,362,73,13,54,0,561,4055,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\Either\Either.cs,1336,555,203,35,149,0,632,3556,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\Either\Either.Extensions.cs,407,190,71,23,47,0,170,956,0,0
